name,refs,radius,onePixelDist,lodCount,verts0,tris0,verts1,tris1,verts2,tris2,verts3,tris3,verts4,tris4,verts5,tris5,verts6,tris6,verts7,tris7
c_54i_cqb_mpc_fb_fe,1,107.21,138372.19,1,12624,15928
c_hro_rachel_egypt_scarf,1,0.00,0.00,1,3,1
p7_hro_hendricks_mic_fb,1,0.00,0.00,1,3,1
c_t7_mp_warrior_mpc_fb1_skin1,1,108.13,139558.70,1,9988,12580
c_t7_mp_warrior_mpc_head1_skin1,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head1_skin2,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head1_skin3,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head1_skin4,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head1_skin5,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head1_skin6,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head1_skin7,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head1_skin8,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head2_skin1,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head2_skin2,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head2_skin3,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head2_skin4,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head2_skin5,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head2_skin6,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head3_skin1,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head3_skin2,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head3_skin3,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head3_skin4,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head3_skin5,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head3_skin6,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head4_skin1,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head4_skin2,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head4_skin3,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head4_skin4,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head4_skin5,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head4_skin6,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head4_skin7,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_head4_skin8,1,108.13,139558.70,1,2970,4098
c_t7_mp_warrior_mpc_body1_skin1,1,95.25,122940.23,1,7018,8482
c_t7_mp_warrior_mpc_body1_skin2,1,95.25,122940.23,1,7018,8482
c_t7_mp_warrior_mpc_body1_skin3,1,95.25,122940.23,1,7018,8482
c_t7_mp_warrior_mpc_body1_skin4,1,95.25,122940.23,1,7018,8482
c_t7_mp_warrior_mpc_body1_skin5,1,95.25,122940.23,1,7018,8482
c_t7_mp_warrior_mpc_body1_skin6,1,95.25,122940.23,1,7018,8482
c_t7_mp_warrior_mpc_body1_skin7,1,95.25,122940.23,1,7018,8482
c_t7_mp_warrior_mpc_body1_skin8,1,95.25,122940.23,1,7018,8482
