name,refs,radius,onePixelDist,lodCount,verts0,tris0,verts1,tris1,verts2,tris2,verts3,tris3,verts4,tris4,verts5,tris5,verts6,tris6,verts7,tris7
c_hro_rachel_egypt_scarf,1,0.00,0.00,1,3,1
p7_hro_hendricks_mic_fb,1,0.00,0.00,1,3,1
c_hro_player_female_egypt_viewbody,1,113.95,147065.55,1,6218,8679
c_hro_player_female_egypt_viewlegs,1,94.52,121997.65,1,4485,6067
c_hro_player_female_aquifer_viewbody,1,113.95,147065.55,1,6218,8679
c_hro_player_female_aquifer_viewlegs,1,94.52,121997.65,1,4485,6067
c_hro_player_female_armsdealer_viewbody,1,113.95,147065.55,1,6218,8679
c_hro_player_female_armsdealer_viewlegs,1,94.52,121997.65,1,4485,6067
c_hro_player_female_blackstation_viewbody,1,113.95,147065.55,1,6218,8679
c_hro_player_female_blackstation_viewlegs,1,94.52,121997.65,1,4485,6067
c_hro_player_female_endgame_viewbody,1,113.95,147065.55,1,6218,8679
c_hro_player_female_endgame_viewlegs,1,94.52,121997.65,1,4485,6067
c_hro_player_female_newworld_viewbody,1,113.95,147065.55,1,6218,8679
c_hro_player_female_newworld_viewlegs,1,94.52,121997.65,1,4485,6067
c_hro_player_female_prologue_viewbody,1,113.95,147065.55,1,6218,8679
c_hro_player_female_prologue_viewlegs,1,94.52,121997.65,1,4485,6067
c_hro_player_female_zurich_viewbody,1,113.95,147065.55,1,6218,8679
c_hro_player_female_zurich_viewlegs,1,94.52,121997.65,1,4485,6067
c_hro_player_female_lotustowers_viewbody,1,113.95,147065.55,1,6218,8679
c_hro_player_female_lotustowers_viewlegs,1,94.52,121997.65,1,4485,6067
c_hro_player_female_vengance_viewbody,1,113.95,147065.55,1,6218,8679
c_hro_player_female_vengance_viewlegs,1,94.52,121997.65,1,4485,6067
c_hro_player_female_infection_viewbody,1,113.95,147065.55,1,6218,8679
c_hro_player_female_infection_viewlegs,1,94.52,121997.65,1,4485,6067
c_hro_player_female_sgen_viewbody,1,113.95,147065.55,1,6218,8679
c_hro_player_female_sgen_viewlegs,1,94.52,121997.65,1,4485,6067
c_hro_player_female_ramses_viewbody,1,113.95,147065.55,1,6218,8679
c_hro_player_female_ramses_viewlegs,1,94.52,121997.65,1,4485,6067
c_hro_player_female_undercover_viewbody,1,113.95,147065.55,1,6218,8679
c_hro_player_female_undercover_viewlegs,1,94.52,121997.65,1,4485,6067
c_hro_player_female_egypt_viewhands,1,62.17,80240.94,1,7733,14016
c_hro_player_female_aquifer_viewhands,1,62.17,80240.94,1,7733,14016
c_hro_player_female_armsdealer_viewhands,1,62.17,80240.94,1,7733,14016
c_hro_player_female_blackstation_viewhands,1,62.17,80240.94,1,7733,14016
